"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"297","E10aVEX",2,0,1,0,1
"298","E10aVIS",3,5,4,8,1
"299","E10aVIV",17,13,13,14,1
"300","E10aVIW",NA,NA,NA,NA,1
"301","E10aVKD",NA,NA,NA,NA,NA
"302","E10aVKD.1",0,0,0,0,1
"303","E10aVKF",67,81,81,86,1
"304","E10aVLS",19,18,18,32,1
"305","E10aVMB",0,0,0,0,1
"306","E10aVMF",0,0,0,0,1
"307","E10aVNF",NA,NA,NA,NA,NA
"308","E10aVNV",0,0,0,0,1
"309","E10aVPQ",3,1,2,5,1
"310","E10aVRV",NA,NA,NA,NA,NA
"311","E10aVSN",0,0,0,0,1
"312","E10aVVZ",106,104,111,112,1
"313","E10aVWS",0,0,0,0,1
"314","E10aVXC",0,0,0,0,1
"315","E10aVXQ",7,12,7,7,1
"316","E10aVXW",12,18,12,16,1
"317","E10aVYG",0,0,0,0,1
"318","E10aWCG",0,0,0,0,1
"319","E10aWDE",0,0,0,0,1
"320","E10aWDE.1",0,0,0,0,1
"321","E10aWDM",NA,NA,NA,NA,1
"322","E10aWFI",0,0,0,0,1
"323","E10aWGZ",NA,NA,NA,NA,1
"324","E10aWJG",NA,NA,NA,NA,NA
"325","E10aWMA",0,0,0,0,1
"326","E10aWMB",9,7,18,12,1
"327","E10aWOX",32,29,15,26,1
"328","E10aWPM",0,0,0,0,1
"329","E10aWQA",3,3,1,3,1
"330","E10aWQO",0,0,0,0,1
"331","E10aWQO.1",0,0,0,0,1
"332","E10aWWH",11,16,4,14,1
"333","E10aWYZ",0,0,0,0,1
"334","E10aXBI",2,1,1,6,1
"335","E10aXCI",0,0,0,0,1
"336","E10aXCN",0,0,0,0,1
"337","E10aXCZ",0,0,0,0,1
"338","E10aXES",0,0,0,0,1
"339","E10aXHF",0,0,0,0,1
"340","E10aXIP",NA,NA,NA,NA,1
"341","E10aXOY",0,0,0,1,1
"342","E10aXTF",0,0,0,0,1
"343","E10aXVU",0,0,0,0,1
"344","E10aXZQ",25,22,33,39,1
"345","E10aXZT",NA,NA,NA,NA,NA
"346","E10aXZZ",6,7,9,4,1
"347","E10aYFC",14,11,23,8,1
"348","E10aYFE",9,2,4,10,1
"349","E10aYFE.1",NA,NA,NA,NA,1
"350","E10aYFN",0,0,0,0,1
"351","E10aYFO",NA,NA,NA,NA,NA
"352","E10aYHQ",0,0,0,0,1
"353","E10aYJX",0,0,0,0,1
"354","E10aYKG",0,0,0,0,1
"355","E10aYKI",0,0,0,0,1
"356","E10aYOG",NA,NA,NA,NA,1
"357","E10aYOK",0,0,0,0,1
"358","E10aYQD",0,0,0,0,1
"359","E10aYQU",16,15,10,10,1
"360","E10aYRA",0,0,0,0,1
"361","E10aYSJ",0,0,0,0,1
"362","E10aYWJ",NA,NA,NA,NA,NA
"363","E10aYXX",0,0,0,0,1
"364","E10aYYC",0,0,0,0,1
"365","E10aYZU",0,0,0,0,1
"366","E10aZAD",0,0,0,0,1
"367","E10aZAK",0,0,0,0,1
"368","E10aZGP",10,10,15,23,1
"369","E10aZIH",0,0,0,0,1
"370","E10aZIW",NA,NA,NA,NA,NA
"371","E10aZJS",0,0,0,0,1
"372","E10aZKY",4,5,7,4,1
"373","E10aZLC",NA,NA,NA,NA,1
"374","E10aZNH",0,0,0,0,1
"375","E10aZQR",NA,NA,NA,NA,1
"376","E10aZQX",247,202,254,192,1
"377","E10aZSP",NA,NA,NA,NA,1
"378","E10aZTI",0,0,0,0,1
"379","E10aZTV",0,0,0,0,1
"380","E10aZVP",0,0,0,0,1
"381","E10aZWW",NA,NA,NA,NA,1
"382","E10aZXG",0,0,0,0,1
"383","E10aZYB",0,0,0,0,1
"384","E10aZYQ",31,38,28,26,1
"385","E10bABE",0,0,0,0,1
"386","E10bAEM",0,0,0,0,1
"387","E10bAHH",35,55,50,35,1
"388","E10bAHK",59,74,74,72,1
"389","E10bAOU",51,53,34,51,1
"390","E10bBAM",6,3,4,6,1
"391","E10bBJK",0,0,0,0,1
"392","E10bBKA",0,0,0,0,1
"393","E10bBRI",0,0,0,0,1
"394","E10bBWZ",0,0,0,0,1
"395","E10bBXR",0,0,0,0,1
"396","E10bCBB",0,0,0,0,1
"397","E10bCBO",76,104,118,145,1
"398","E10bCNW",96,96,59,97,1
"399","E10bCQA",0,0,0,0,1
"400","E10bCQF",0,0,0,0,1
"401","E10bCTL",0,0,0,0,1
"402","E10bCWZ",0,0,0,0,1
"403","E10bCYC",0,0,0,0,1
"404","E10bCZQ",0,0,0,0,1
"405","E10bDBR",0,0,0,0,1
"406","E10bDEM",0,0,0,0,1
"407","E10bDFU",0,0,0,0,1
"408","E10bDFW",1,4,3,1,1
"409","E10bDGV",0,0,0,0,1
"410","E10bDMH",0,0,0,0,1
"411","E10bDWZ",0,0,0,0,1
"412","E10bEDH",0,0,0,0,1
"413","E10bEEB",0,0,0,0,1
"414","E10bEJZ",2,3,5,4,1
"415","E10bERA",0,0,0,0,1
"416","E10bERX",0,0,0,0,1
"417","E10bESZ",0,0,0,0,1
"418","E10bETD",0,0,0,0,1
"419","E10bEVY",0,0,0,0,1
"420","E10bFDU",0,0,0,0,1
"421","E10bFHY",0,0,0,0,1
"422","E10bFPM",0,0,0,0,1
"423","E10bFTF",13,16,13,14,1
"424","E10bFZA",44,31,43,54,1
"425","E10bGBB",0,0,0,0,1
"426","E10bGCI",0,0,0,0,1
