"","EH_ID","primary_infection","challenge_infection","mouse_strain","experiment","infection_history","Locality","Genome","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","contamination","InfectionHistoryTotal"
"53","LM0194"," E88 ",NA," SCHUNT_SCHUNT ","E5",NA," Schweben 2 "," dom "," SY ",7907,37," SCHUNT "," SY ",7904,37,"2018-05-01",3,6,"5","1"," EX ",920," M ","38"," 1M ","5.82",9.51," L2 ",NA,NA," SCHUNT "," SCHUNT "," parental strains ",9.85714285714286,1,NA,NA,NA
"54","LM0203"," E88 ",NA," SCHUNT_SCHUNT ","E5",NA," Schweben 2 "," dom "," SY ",7907,37," SCHUNT "," SY ",7904,37,"2018-05-01",3,6,"5","1"," EX ",921," M ","38"," 1M ","6.14",10.02," L3 ",NA,NA," SCHUNT "," SCHUNT "," parental strains ",9.85714285714286,1,NA,NA,NA
"55","LM0180"," E88 ",NA," STRA_BUSNA ","E5",NA," STRA x BUSNA "," dom x mus "," SY ",6346,55," BUSNA "," SY ",6111,60,"2018-03-07",2,5,"2","3"," EX ",658," M "," F1 "," 1M ","7.96",10.43," P2 ",NA,NA," STRA "," BUSNA "," inter subsp. hybrids ",17.7142857142857,1,NA,NA,NA
"56","LM0185"," E88 ",NA," STRA_BUSNA ","E5",NA," STRA x BUSNA "," dom x mus "," SY ",6346,55," BUSNA "," SY ",6111,60,"2018-03-07",2,5,"2","3"," EX ",660," F "," F1 "," 1F ","7.91",10.95," L2 ",NA,NA," STRA "," BUSNA "," inter subsp. hybrids ",17.7142857142857,1,NA,NA,NA
"57","LM0184"," E88 ",NA," STRA_SCHUNT ","E5",NA," STRA x SCHUNT "," dom "," SY ",5825,55," SCHUNT "," SY ",3470,36,"2018-03-21",3,11,"7","4"," EX ",710," M "," F1 "," 1M ","6.1",11.95," P3 ",NA,NA," STRA "," SCHUNT "," outbred hybrids ",15.7142857142857,1,NA,NA,NA
"58","LM0196"," E88 ",NA," STRA_SCHUNT ","E5",NA," STRA x SCHUNT "," dom "," SY ",5825,55," SCHUNT "," SY ",3470,36,"2018-03-21",3,11,"7","4"," EX ",711," M "," F1 "," 1M ","5.83",11.56," P4 ",NA,NA," STRA "," SCHUNT "," outbred hybrids ",15.7142857142857,1,NA,NA,NA
"59","LM0199"," E88 ",NA," STRA_STRA ","E5",NA," Straas2 "," dom "," SY ",8113,56," STRA "," SY ",8111,56,"2018-04-03",1,9,"2","7"," EX ",768," M ","57"," 1M ","5.75",9.42," L3 ",NA,NA," STRA "," STRA "," parental strains ",13.8571428571429,1,NA,NA,NA
"60","LM0200"," E88 ",NA," STRA_STRA ","E5",NA," Straas2 "," dom "," SY ",8113,56," STRA "," SY ",8111,56,"2018-04-03",1,9,"2","7"," EX ",770," F ","57"," 1F ","6.26",9.83," P3 ",NA,NA," STRA "," STRA "," parental strains ",13.8571428571429,1,NA,NA,NA
"61","LM0201"," E88 ",NA," STRA_STRA ","E5",NA," Straas2 "," dom "," SY ",8113,56," STRA "," SY ",8111,56,"2018-04-03",1,9,"2","7"," EX ",771," F ","57"," 1F ","5.98",9.87," P4 ",NA,NA," STRA "," STRA "," parental strains ",13.8571428571429,1,NA,NA,NA
"62","LM0217","E64",NA,"BUSNA_BUSNA","E5",NA,"Buskovice","mus","SY",5146,59,"BUSNA","SY",5144,59,"2018-04-26",7,4,"1+?","2+?","EX",1036,"M","60","1M","6.86",9.81,"P2",NA,NA,"BUSNA","BUSNA","parental strains",10.5714285714286,1,NA,NA,NA
"63","LM0216","E64",NA,"BUSNA_BUSNA","E5",NA,"Buskovice","mus","SY",5146,59,"BUSNA","SY",5144,59,"2018-04-26",7,4,"1+?","2+?","EX",1038,"F","60","1F","6,,08",8.91,"P4",NA,NA,"BUSNA","BUSNA","parental strains",10.5714285714286,1,NA,NA,NA
"64","LM0230","E88",NA,"BUSNA_BUSNA","E5",NA,"Buskovice","mus","SY",5146,59,"BUSNA","SY",5144,59,"2018-05-16",8,5,"1","4","EX",1040,"F","60","1F","5.76",9.03,"L3",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,NA,NA,NA
"65","LM0245","E88",NA,"BUSNA_BUSNA","E5",NA,"Buskovice","mus","SY",5146,59,"BUSNA","SY",5144,59,"2018-05-16",8,5,"1","4","EX",1041,"F","60","1F","5.51",8.77,"L4",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,NA,NA,NA
"66","LM0281","E64",NA,"BUSNA_BUSNA","E5",NA,"Buskovice","mus","SY",5146,59,"BUSNA","SY",5144,59,"2018-05-16",8,5,"1","4","EX",1042,"F","60","1F","5.4",8.49,"L5",NA,"REZERVA","BUSNA","BUSNA","parental strains",7.71428571428571,2,NA,NA,NA
"67","LM0206","E64",NA,"BUSNA_BUSNA","E5",NA,"Buskovice","mus","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,NA,NA,NA
"68","LM0244","E88",NA,"BUSNA_BUSNA","E5",NA,"Buskovice","mus","SY",8209,62,"BUSNA","SY",8208,62,"2018-05-17",2,5,"4","1","EX",1058,"M","63","1M","5.45",8.47,"L2",NA,"","BUSNA","BUSNA","parental strains",7.57142857142857,2,NA,NA,NA
"69","LM0224","E64",NA,"BUSNA_PWD","E5",NA,"BUSNA x PWD","mus x mus","SY",6115,60,"PWD","SY",7040,43,"2018-04-01",3,4,"2","2","EX",753,"M","F1","1M","6.55",11.17,"P3",NA,NA,"BUSNA","PWD","outbred hybrids",14.1428571428571,1,NA,NA,NA
"70","LM0220","E64",NA,"BUSNA_PWD","E5",NA,"BUSNA x PWD","mus x mus","SY",6115,60,"PWD","SY",7040,43,"2018-04-01",3,4,"2","2","EX",754,"F","F1","1F","6.6",11.19,"L2",NA,NA,"BUSNA","PWD","outbred hybrids",14.1428571428571,1,NA,NA,NA
"71","LM0250","E88",NA,"BUSNA_PWD","E5",NA,"BUSNA x PWD","mus x mus","SY",6115,60,"PWD","SY",7040,43,"2018-04-28",4,4,"2+?","1+?","EX",913,"M","F1","1M","7.21",12.28,"P2",NA,"","BUSNA","PWD","outbred hybrids",10.2857142857143,2,NA,NA,NA
"72","LM0243","E88",NA,"BUSNA_PWD","E5",NA,"BUSNA x PWD","mus x mus","SY",6115,60,"PWD","SY",7040,43,"2018-04-28",4,4,"2+?","1+?","EX",915,"F","F1","1F","7.47",12.64,"L2",NA,"","BUSNA","PWD","outbred hybrids",10.2857142857143,2,NA,NA,NA
"73","LM0215","E64",NA,"BUSNA_STRA","E5",NA,"BUSNA x STRA","mus x dom","SY",6114,60,"STRA","SY",6345,55,"2018-02-23",2,3,"0","3","EX",622,"F","F1","1F","7.76",13.35,"L4",NA,NA,"BUSNA","STRA","inter subsp. hybrids",19.4285714285714,1,NA,NA,NA
"74","LM0207","E64",NA,"PWD_PWD","E5",NA,"Prague","mus","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,NA,NA,NA
"75","LM0213","E64",NA,"PWD_PWD","E5",NA,"Prague","mus","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",667,"F","43","1F","4.34",4.99,"L4",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,NA,NA,NA
"76","LM0211","E64",NA,"PWD_PWD","E5",NA,"Prague","mus","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,NA,NA,NA
"77","LM0241","E88",NA,"PWD_PWD","E5",NA,"Prague","mus","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",759,"F","43","1F","4.41",5.97,"L5",NA,"","PWD","PWD","parental strains",14.1428571428571,2,NA,NA,NA
"78","LM0237","E88",NA,"PWD_PWD","E5",NA,"Prague","mus","SY",7076,42,"PWD","SY",7073,42,"2018-04-03",2,9,"3","6","EX",783,"F","43","1F","3.12",4.68,"L5",NA,"","PWD","PWD","parental strains",13.8571428571429,2,NA,NA,NA
"79","LM0253","E88",NA,"PWD_PWD","E5",NA,"Prague","mus","SY",7076,42,"PWD","SY",7073,42,"2018-04-03",2,9,"3","6","EX",784,"F","43","1F","3.04",4.38,"P2",NA,"REZERVA","PWD","PWD","parental strains",13.8571428571429,2,NA,NA,NA
"80","LM0252","E88",NA,"PWD_PWD","E5",NA,"Prague","mus","SY",7076,42,"PWD","SY",7073,42,"2018-05-01",3,6,"3","3","EX",926,"M","43","1M","5.1",7.41,"L2",NA,"REZERVA","PWD","PWD","parental strains",9.85714285714286,2,NA,NA,NA
"81","LM0204","E64",NA,"PWD_BUSNA","E5",NA,"PWD x BUSNA","mus x mus","SY",2996,46,"BUSNA","SY",6113,60,"2018-03-23",6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,NA,"PWD","BUSNA","outbred hybrids",15.4285714285714,1,NA,NA,NA
"82","LM0242","E88",NA,"PWD_BUSNA","E5",NA,"PWD x BUSNA","mus x mus","SY",2996,46,"BUSNA","SY",6113,60,"2018-05-02",7,6,"5","?","EX",939,"M","F1","1M","5.19",8.79,"L2",NA,"","PWD","BUSNA","outbred hybrids",9.71428571428571,2,NA,NA,NA
"83","LM0218","E64",NA,"PWD_SCHUNT","E5",NA,"PWD x SCHUNT","mus x dom","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",976,"M","F1","1M","5.83",9.66,"L2",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,NA,NA,NA
"84","LM0210","E64",NA,"PWD_SCHUNT","E5",NA,"PWD x SCHUNT","mus x dom","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,NA,NA,NA
"85","LM0219","E64",NA,"SCHUNT_PWD","E5",NA,"SCHUNT x PWD","dom x mus","SY",6904,37,"PWD","SY",5342,42,"2018-03-23",1,7,"5","2","EX",721,"M","F1","1M","5.37",9.71,"P3",NA,NA,"SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,1,NA,NA,NA
"86","LM0212","E64",NA,"SCHUNT_STRA","E5",NA,"SCHUNT x STRA","dom","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,NA,NA,NA
