,EH_ID,CASP1,CXCL9,CXCR3,GAPDH,IDO1,IFNG,IL10,IL12A,IL13,IL1RN,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PPIB,PRF1,RETNLB,SOCS1,TICAM1,TNF,IL6,IL17A
292,AA0785,22.9969174738175,19.8621446347985,21.1848367188508,4.38037452149345,10.2812997230881,16.8431694992084,NA,16.4873336143671,8.94360445302072,10.0343447379102,9.85128361387527,15.6512390847903,8.61645798094071,8.60418678485152,25.0094423649535,22.5449221705303,18.2201306348409,NA,9.70824472701638,10.6163815377695,NA,21.7281551711253,22.3064137251646,20.5848488299279
293,AA0786,19.9203250295581,22.6109207731708,NA,3.34777793544384,8.90704324012416,21.9670675850545,23.5617900357749,15.5625054067321,22.0668567552065,8.09846624963549,8.11150419518868,12.8453288710023,6.49540044312406,6.81201907630071,11.8131577081902,NA,14.724063931994,22.183903132031,7.42423864996116,9.55606636661777,23.181803907615,19.7514159935851,23.98996037588,24.0841449479087
294,AA0787,23.6192383309022,17.324270127459,23.3198780418719,5.35647777566115,12.9605973330149,17.4846008185451,NA,20.582135882007,10.2789128484495,11.5461691811523,11.4266959802252,17.766453177313,9.73072981980702,10.300225324556,19.1368859874656,24.5655511581234,15.922443541652,NA,11.0266009223967,11.5292279735944,NA,20.4802482943051,23.2414132731656,23.7428461779647
295,AA0788,21.0934361011934,19.8737164253375,22.2247256695376,6.95857943021163,13.2203723541944,15.744876088029,NA,20.1302285748685,11.3457064059107,11.8995790843379,11.8829904550474,18.4604731869387,10.7751696559788,10.5741883200197,19.7905618728604,24.0976603700796,18.2989061019704,NA,11.7529398945408,12.9561870358853,NA,20.3638469153191,NA,17.0764864371571
296,AA0789,23.5076406806019,21.4103250244725,22.0805853530341,5.68943035160179,15.5601044565447,21.1563335617899,NA,20.0556838848102,11.0317710802599,12.2350284355841,11.8444549558312,18.3759138029077,10.5224025338643,10.7737910775495,18.2072437406845,23.6384741746499,14.4670142719905,NA,10.8954095032258,12.3139145718196,NA,23.3263182313189,23.967824075974,21.4914350770912
297,AA0791,22.1074055350392,20.9606069992567,20.3123796291606,4.83052792854557,10.6496243504106,12.7795567447173,NA,16.8854260602165,9.78243719490531,10.1813060067504,11.0803425169882,15.8733228452351,8.82197121664039,8.9974609313097,18.3777617167022,20.8512443885599,14.456863631858,NA,9.84252566106124,11.6783654789895,NA,19.8335699177252,20.0004237640256,14.3835854077865
298,AA0792,22.1041794237134,19.8417721281442,19.362480771059,4.211360137584,9.21288919359341,11.3117644367481,NA,15.6067386109257,8.69180599294943,8.78411247741598,10.1891448345675,14.7067630012945,8.3418259449424,8.19360226121521,17.0847380786537,21.8895491861954,13.6744780380059,NA,8.80178834381826,11.2475176474255,NA,20.2100843044117,23.7294855437642,12.5564078613291
299,AA0793,20.4224063130134,19.3833975373584,NA,6.93680511227408,13.2376103431389,18.7535743347396,24.2253300307441,19.5953196130947,16.5383855323887,12.7288515165651,11.9758204946336,18.8680916739308,11.2854863992521,11.4133353721063,12.3789146587061,NA,17.724063931994,27.9718997663104,11.7461455447409,13.5710472510768,18.1269694945224,20.1689544802124,22.1205174407185,27.2130266454762
300,AA0794,20.6329668240621,20.885244647939,NA,3.52461221596496,14.4425922431715,25.2715930221327,24.0185633837583,21.1904030565326,19.4188211609067,11.7848160818439,9.00539142524975,14.310168880009,7.0457393063113,7.18226918119804,9.21209396475988,NA,16.724063931994,22.8377726454339,8.25656463206619,10.0150295180484,21.6007083526896,20.2973809109523,21.2066732664554,25.5134473077429
301,AA0795,21.6883379407781,22.4361705778329,22.8854610688281,6.02959927634465,11.483788598543,13.8416516369286,NA,18.0262552126808,10.8825322554668,11.5579468272894,12.1570032051476,17.9863905029651,10.1620294376475,10.5592777904909,20.9355609032443,22.5068704102833,19.0330465744103,NA,10.9398876295266,13.4435265050154,NA,21.2330157475191,23.0128780582693,15.1838986917194
